Order_Id,User_Id,Brand_Id,Product_Id,Order Date ,Quantities Sold,Total Order Price
O70,u25851,B1,P19,11/27/2019,4,$137.38
O71,u8046,B1,P10,3/7/2019,7,$382.73
O72,u8667,B1,P20,10/13/2019,8,$475.09
O73,u40457,B1,P17,1/2/2019,5,$303.74
O74,u14323,B1,P20,3/20/2019,12,$712.63
O75,u25967,B1,P26,7/3/2019,12,$261.66
O76,u3586,B1,P11,11/19/2019,7,$339.89
O77,u34116,B1,P16,7/28/2019,5,$217.20
O78,u29379,B1,P25,4/3/2019,13,$294.58
O79,u22372,B1,P5,9/28/2019,3,$94.48
O80,u9968,B1,P11,9/2/2019,10,$485.56
O81,u392,B1,P31,7/6/2019,6,$119.10
O82,u27458,B1,P9,1/7/2019,2,$77.43
O83,u36544,B1,P4,3/10/2019,2,$36.89
O84,u11447,B1,P9,11/3/2019,9,$348.44
O85,u23384,B1,P10,4/18/2019,9,$492.08
O86,u8651,B1,P34,2/25/2019,11,$314.24
O87,u49894,B1,P31,11/12/2019,1,$19.85
O88,u40028,B1,P25,5/21/2019,2,$45.32
O89,u27820,B1,P34,1/9/2019,11,$314.24
O90,u43768,B1,P16,5/5/2019,13,$564.72
O91,u32049,B1,P6,7/31/2019,4,$164.05
O92,u1363,B1,P29,2/24/2019,2,$45.13
O93,u35937,B1,P16,1/4/2019,6,$260.64
O94,u32827,B1,P13,3/9/2019,8,$423.84
O95,u10559,B1,P5,8/7/2019,1,$31.49
O96,u8392,B1,P14,9/3/2019,15,$449.33
O97,u46335,B1,P16,6/6/2019,10,$434.40
O98,u47219,B1,P18,5/17/2019,8,$304.78
O99,u19166,B1,P6,1/31/2019,3,$123.04
O100,u17856,B1,P21,6/9/2019,8,$500.17
O101,u34546,B1,P3,7/7/2019,15,$358.09
O102,u11411,B1,P35,9/1/2019,12,$292.24
O103,u28894,B1,P6,9/1/2019,7,$287.09
O104,u12241,B1,P13,2/12/2019,5,$264.90
O105,u60,B1,P20,11/13/2019,2,$118.77
O106,u35126,B1,P8,10/2/2019,9,$273.90
O107,u29517,B1,P8,11/6/2019,15,$456.50
O108,u44399,B1,P25,5/30/2019,9,$203.94
O109,u48722,B1,P4,3/26/2019,9,$166.00
O110,u13674,B1,P1,8/10/2019,4,$56.78
O111,u6364,B1,P24,6/7/2019,2,$32.58
O112,u13315,B1,P12,4/25/2019,3,$110.01
O113,u2522,B1,P1,8/12/2019,8,$113.56
O114,u22317,B1,P19,5/11/2019,8,$274.76
O115,u48882,B1,P18,12/9/2019,8,$304.78
O116,u17238,B1,P17,6/18/2019,5,$303.74
O117,u21099,B1,P31,9/14/2019,1,$19.85
O118,u40409,B1,P31,1/3/2019,13,$258.06
O119,u32887,B1,P7,8/22/2019,5,$212.59
O120,u34789,B1,P15,4/23/2019,10,$551.29
O121,u521,B1,P20,5/10/2019,7,$415.70
O122,u2391,B1,P27,7/6/2019,5,$145.51
O123,u38014,B1,P34,12/24/2019,10,$285.67
O124,u15519,B1,P17,6/17/2019,8,$485.98
O125,u35320,B1,P16,4/20/2019,7,$304.08
O126,u35689,B1,P13,12/20/2019,12,$635.76
O127,u45525,B1,P6,2/28/2019,15,$615.19
O128,u18908,B1,P11,6/7/2019,5,$242.78
O129,u39128,B1,P6,5/17/2019,12,$492.15
O130,u10040,B1,P21,8/2/2019,7,$437.65
O131,u9330,B1,P6,1/22/2019,13,$533.17
O132,u24776,B1,P26,6/28/2019,6,$130.83
O133,u17802,B1,P16,4/13/2019,1,$43.44
O134,u38857,B1,P23,2/12/2019,11,$208.49
O135,u4854,B1,P1,1/20/2019,14,$198.73
O136,u48725,B1,P4,12/18/2019,10,$184.45
O137,u26434,B1,P28,4/24/2019,4,$120.71
O138,u40863,B1,P30,4/3/2019,1,$18.95
O139,u36210,B1,P3,11/23/2019,13,$310.35
O140,u33358,B1,P7,8/17/2019,9,$382.66
O141,u18262,B1,P7,7/2/2019,9,$382.66
O142,u39406,B1,P8,4/10/2019,15,$456.50
O143,u22017,B1,P31,8/28/2019,15,$297.76
O144,u49739,B1,P24,4/30/2019,3,$48.88
O145,u9200,B1,P36,6/14/2019,2,$56.21
O146,u47627,B1,P5,11/3/2019,4,$125.98
O147,u34184,B1,P18,7/18/2019,11,$419.08
O148,u33870,B1,P27,1/5/2019,15,$436.52
O149,u36390,B1,P22,5/7/2019,8,$181.10
O150,u9975,B1,P13,6/18/2019,2,$105.96
O151,u31973,B1,P2,7/24/2019,11,$218.86
O152,u49769,B1,P10,9/16/2019,15,$820.13
O153,u33028,B1,P11,10/18/2019,5,$242.78
O154,u44414,B1,P3,7/30/2019,13,$310.35
O155,u15748,B1,P20,3/8/2019,12,$712.63
O156,u14179,B1,P33,10/25/2019,14,$477.09
O157,u24550,B1,P21,10/11/2019,2,$125.04
O158,u5140,B1,P24,8/13/2019,4,$65.17
O159,u20952,B1,P22,8/12/2019,9,$203.73
O160,u37875,B1,P26,4/14/2019,15,$327.07
O161,u23186,B1,P27,4/24/2019,13,$378.32
O162,u12602,B1,P24,9/1/2019,9,$146.63
O163,u33075,B1,P35,9/14/2019,1,$24.35
O164,u35087,B1,P33,11/6/2019,11,$374.86
O165,u8894,B1,P7,6/27/2019,13,$552.73
O166,u26196,B1,P9,8/7/2019,9,$348.44
O167,u28614,B1,P32,5/15/2019,4,$96.36
O168,u25658,B1,P14,7/5/2019,14,$419.37
O169,u34724,B1,P29,2/11/2019,10,$225.65
O170,u15129,B1,P14,6/28/2019,4,$119.82
O171,u35384,B1,P9,2/26/2019,3,$116.15
O172,u4201,B1,P25,12/1/2019,12,$271.92
O173,u33766,B1,P15,8/1/2019,11,$606.41
O174,u14635,B1,P6,6/1/2019,1,$41.01
O175,u7928,B1,P8,8/13/2019,1,$30.43
O176,u26739,B1,P27,2/4/2019,9,$261.91
O177,u33023,B1,P26,7/7/2019,13,$283.46
O178,u37979,B1,P15,4/29/2019,8,$441.03
O179,u30204,B1,P17,5/5/2019,5,$303.74
O180,u18113,B1,P31,3/11/2019,13,$258.06
O181,u46788,B1,P33,4/23/2019,9,$306.70
O182,u49503,B1,P28,9/16/2019,10,$301.77
O183,u38280,B1,P36,11/12/2019,12,$337.25
O184,u32764,B1,P9,8/26/2019,6,$232.29
O185,u28382,B1,P15,2/21/2019,14,$771.80
O186,u40337,B1,P20,6/16/2019,15,$890.78
O187,u322,B1,P9,1/1/2019,3,$116.15
O188,u7427,B1,P21,2/20/2019,4,$250.08
O189,u4501,B1,P8,9/7/2019,13,$395.63
O190,u36342,B1,P1,11/22/2019,4,$56.78
O191,u49812,B1,P7,12/24/2019,15,$637.76
O192,u26728,B1,P33,2/16/2019,3,$102.23
O193,u811,B1,P9,8/13/2019,5,$193.58
O194,u7362,B1,P30,7/14/2019,3,$56.86
O195,u40643,B1,P3,6/8/2019,12,$286.47
O196,u31717,B1,P5,11/1/2019,6,$188.97
O197,u40953,B1,P11,2/11/2019,15,$728.34
O198,u37903,B1,P28,8/4/2019,14,$422.48
O199,u29498,B1,P3,4/10/2019,10,$238.73
O200,u36962,B1,P22,7/4/2019,2,$45.27
O201,u13633,B1,P36,6/11/2019,12,$337.25
O202,u12019,B1,P3,7/6/2019,6,$143.24
O203,u41743,B1,P3,7/22/2019,4,$95.49
O204,u33992,B1,P22,9/18/2019,4,$90.55
O205,u4108,B1,P20,5/6/2019,1,$59.39
O206,u9333,B1,P35,3/11/2019,6,$146.12
O207,u41981,B1,P4,10/25/2019,2,$36.89
O208,u47588,B1,P9,5/30/2019,3,$116.15
O209,u27046,B1,P16,2/18/2019,3,$130.32
O210,u4917,B1,P34,8/6/2019,8,$228.53
O211,u9349,B1,P22,8/15/2019,13,$294.28
O212,u26721,B1,P20,1/3/2019,15,$890.78
O213,u27465,B1,P9,4/8/2019,14,$542.01
O214,u13028,B1,P9,8/15/2019,3,$116.15
O215,u10651,B1,P1,10/3/2019,11,$156.14
O216,u43762,B1,P6,7/22/2019,14,$574.18
O217,u35272,B1,P3,9/13/2019,8,$190.98
O218,u13602,B1,P33,12/22/2019,6,$204.47
O219,u21532,B1,P28,3/12/2019,12,$362.13
O220,u44008,B1,P15,7/5/2019,7,$385.90
O221,u16769,B1,P15,6/30/2019,9,$496.16
O222,u845,B1,P24,10/10/2019,8,$130.33
O223,u17002,B1,P8,11/2/2019,12,$365.20
O224,u32544,B1,P13,3/21/2019,8,$423.84
O225,u13425,B1,P17,1/19/2019,9,$546.72
O226,u45239,B1,P16,4/23/2019,7,$304.08
O227,u37850,B1,P19,2/3/2019,6,$206.07
O228,u6976,B1,P7,5/14/2019,15,$637.76
O229,u44195,B1,P24,9/24/2019,7,$114.04
O230,u13875,B1,P19,2/18/2019,7,$240.42
O231,u38753,B1,P25,7/15/2019,14,$317.24
O232,u42688,B1,P24,3/4/2019,12,$195.50
O233,u22728,B1,P8,12/3/2019,5,$152.17
O234,u49140,B1,P9,3/22/2019,3,$116.15
O235,u37199,B1,P27,4/29/2019,14,$407.42
O236,u11924,B1,P30,1/13/2019,2,$37.91
O237,u4888,B1,P34,4/11/2019,5,$142.83
O238,u12461,B1,P35,6/24/2019,11,$267.89
O239,u9755,B1,P24,5/24/2019,12,$195.50
O240,u19195,B1,P20,9/12/2019,10,$593.86
O241,u35225,B1,P33,5/17/2019,12,$408.93
O242,u8085,B1,P20,4/1/2019,3,$178.16
O243,u23649,B1,P24,5/2/2019,13,$211.79
O244,u13350,B1,P1,8/22/2019,13,$184.53
O245,u3241,B1,P34,4/12/2019,13,$371.37
O246,u11673,B1,P26,10/21/2019,15,$327.07
O247,u47178,B1,P17,7/3/2019,10,$607.47
O248,u40931,B1,P21,9/12/2019,9,$562.69
O249,u1599,B1,P34,12/26/2019,6,$171.40
O250,u39865,B1,P15,1/22/2019,9,$496.16
O251,u1995,B1,P19,1/1/2019,3,$103.04
O252,u36385,B1,P18,4/30/2019,12,$457.18
O253,u48800,B1,P1,7/12/2019,7,$99.36
O254,u9917,B1,P24,10/19/2019,11,$179.21
O255,u4007,B1,P1,4/5/2019,15,$212.92
O256,u2155,B1,P18,12/28/2019,5,$190.49
O257,u48252,B1,P25,4/6/2019,7,$158.62
O258,u3009,B1,P27,11/5/2019,7,$203.71
O259,u37307,B1,P13,3/29/2019,4,$211.92
O260,u15723,B1,P1,5/27/2019,12,$170.34
O261,u4169,B1,P13,11/21/2019,1,$52.98
O262,u10887,B1,P27,6/22/2019,5,$145.51
O263,u17326,B1,P9,10/13/2019,10,$387.15
O264,u11245,B1,P19,4/11/2019,14,$480.83
O265,u2261,B1,P5,12/11/2019,3,$94.48
O266,u13135,B1,P26,3/9/2019,10,$218.05
O267,u25221,B1,P8,2/25/2019,5,$152.17
O268,u20613,B1,P32,4/5/2019,13,$313.18
O269,u39805,B1,P12,9/19/2019,2,$73.34
O270,u1549,B1,P36,11/14/2019,12,$337.25
O271,u35428,B1,P20,8/25/2019,1,$59.39
O272,u22468,B1,P9,5/30/2019,2,$77.43
O273,u5356,B1,P29,2/28/2019,6,$135.39
O274,u38864,B1,P12,10/31/2019,6,$220.03
O275,u12230,B1,P7,1/23/2019,2,$85.03
O276,u37985,B1,P4,7/5/2019,2,$36.89
O277,u13084,B1,P12,10/23/2019,5,$183.36
O278,u11354,B1,P29,11/23/2019,9,$203.09
O279,u19237,B1,P17,10/29/2019,14,$850.46
O280,u29107,B1,P13,12/13/2019,3,$158.94
O281,u40544,B1,P34,8/29/2019,11,$314.24
O282,u8756,B1,P21,3/14/2019,9,$562.69
O283,u17740,B1,P1,11/28/2019,6,$85.17
O284,u48280,B1,P30,9/17/2019,4,$75.81
O285,u1517,B1,P5,10/7/2019,7,$220.46
O286,u40371,B1,P32,9/1/2019,9,$216.81
O287,u26054,B1,P19,12/21/2019,6,$206.07
O288,u8760,B1,P34,2/7/2019,14,$399.94
O289,u7518,B1,P31,7/17/2019,5,$99.25
O290,u23197,B1,P21,6/27/2019,9,$562.69
O291,u22146,B1,P16,10/7/2019,9,$390.96
O292,u41049,B1,P12,8/30/2019,7,$256.70
O293,u32512,B1,P20,10/19/2019,14,$831.40
O294,u6548,B1,P4,1/3/2019,1,$18.44
O295,u46151,B1,P19,6/21/2019,1,$34.35
O296,u24138,B1,P9,7/17/2019,4,$154.86
O297,u45480,B1,P13,3/27/2019,14,$741.73
O298,u27694,B1,P13,9/24/2019,5,$264.90
O299,u47676,B1,P10,7/27/2019,5,$273.38
O300,u29900,B1,P10,2/27/2019,1,$54.68
O301,u14538,B1,P27,5/3/2019,6,$174.61
O302,u24779,B1,P27,11/25/2019,13,$378.32
O303,u25192,B1,P15,11/5/2019,6,$330.77
O304,u45173,B1,P31,9/29/2019,3,$59.55
O305,u14512,B1,P14,8/25/2019,15,$449.33
O306,u16520,B1,P4,3/27/2019,6,$110.67
O307,u21281,B1,P31,3/19/2019,7,$138.95
O308,u38863,B1,P9,8/19/2019,8,$309.72
O309,u37111,B1,P4,1/14/2019,7,$129.11
O310,u42985,B1,P9,2/2/2019,9,$348.44
O311,u18015,B1,P11,6/29/2019,1,$48.56
O312,u20775,B1,P5,10/15/2019,1,$31.49
O313,u9125,B1,P5,9/22/2019,4,$125.98
O314,u48157,B1,P21,2/17/2019,11,$687.73
O315,u21310,B1,P22,8/29/2019,8,$181.10
O316,u44726,B1,P14,2/23/2019,8,$239.64
O317,u19447,B1,P24,12/28/2019,6,$97.75
O318,u22900,B1,P2,2/12/2019,10,$198.96
O319,u31773,B1,P5,10/20/2019,15,$472.42
O320,u41033,B1,P36,10/5/2019,9,$252.93
O321,u40130,B1,P29,10/29/2019,2,$45.13
O322,u16469,B1,P16,1/26/2019,15,$651.60
O323,u22233,B1,P15,9/20/2019,12,$661.54
O324,u22442,B1,P10,8/10/2019,7,$382.73
O325,u197,B1,P15,3/25/2019,10,$551.29
O326,u15754,B1,P27,6/9/2019,4,$116.41
O327,u28931,B1,P32,2/21/2019,11,$264.99
O328,u43206,B1,P11,4/3/2019,12,$582.67
O329,u33445,B1,P10,9/6/2019,1,$54.68
O330,u34076,B1,P33,4/2/2019,7,$238.54
O331,u14177,B1,P28,8/10/2019,8,$241.42
O332,u3150,B1,P5,3/2/2019,1,$31.49
O333,u23118,B1,P1,11/7/2019,11,$156.14
O334,u45561,B1,P20,7/9/2019,7,$415.70
O335,u23153,B1,P6,4/13/2019,10,$410.13
O336,u27297,B1,P1,7/22/2019,7,$99.36
O337,u6985,B1,P15,11/13/2019,15,$826.93
O338,u46843,B1,P2,4/25/2019,7,$139.28
O339,u36529,B1,P6,6/26/2019,3,$123.04
O340,u16896,B1,P7,3/18/2019,3,$127.55
O341,u36092,B1,P34,5/15/2019,8,$228.53
O342,u25185,B1,P11,12/13/2019,11,$534.12
O343,u13553,B1,P15,3/10/2019,5,$275.64
O344,u9561,B1,P10,7/10/2019,4,$218.70
O345,u49272,B1,P3,12/20/2019,8,$190.98
O346,u10959,B1,P19,10/20/2019,5,$171.73
O347,u27352,B1,P13,7/16/2019,1,$52.98
O348,u4618,B1,P8,5/27/2019,14,$426.07
O349,u33347,B1,P12,2/7/2019,7,$256.70
O350,u42902,B1,P4,12/31/2019,14,$258.22
O351,u15352,B1,P27,5/2/2019,12,$349.22
O352,u4739,B1,P5,4/9/2019,5,$157.47
O353,u35875,B1,P30,12/14/2019,1,$18.95
O354,u26526,B1,P23,3/15/2019,6,$113.72
O355,u2894,B1,P2,5/16/2019,10,$198.96
O356,u46469,B1,P28,8/21/2019,14,$422.48
O357,u33291,B1,P7,9/6/2019,15,$637.76
O358,u19645,B1,P10,3/14/2019,13,$710.78
O359,u7424,B1,P18,11/29/2019,7,$266.69
O360,u40358,B1,P35,2/18/2019,7,$170.48
O361,u32341,B1,P28,5/25/2019,15,$452.66
O362,u34126,B1,P3,10/17/2019,10,$238.73
O363,u43931,B1,P12,9/7/2019,11,$403.39
O364,u16047,B1,P7,11/29/2019,12,$510.21
O365,u46810,B1,P3,12/31/2019,13,$310.35
O366,u49615,B1,P13,11/2/2019,6,$317.88
O367,u29746,B1,P30,7/28/2019,7,$132.67
O368,u18908,B1,P26,7/21/2019,13,$283.46
O369,u44726,B1,P16,8/4/2019,14,$608.16
O370,u43291,B1,P20,10/19/2019,11,$653.24
O371,u28204,B1,P7,7/26/2019,4,$170.07
O372,u32595,B1,P19,6/18/2019,15,$515.18
O373,u3451,B1,P5,3/29/2019,2,$62.99
O374,u49477,B1,P23,6/12/2019,14,$265.35
O375,u26268,B1,P9,8/19/2019,4,$154.86
O376,u6215,B1,P35,10/25/2019,13,$316.60
O377,u41381,B1,P13,8/26/2019,3,$158.94
O378,u24337,B1,P8,7/25/2019,5,$152.17
O379,u10716,B1,P12,11/22/2019,15,$550.07
O380,u45756,B1,P5,9/1/2019,10,$314.95
O381,u15332,B1,P28,9/25/2019,7,$211.24
O382,u3816,B1,P31,9/1/2019,5,$99.25
O383,u41198,B1,P9,11/7/2019,14,$542.01
O384,u36840,B1,P6,11/6/2019,2,$82.03
O385,u32101,B1,P19,3/1/2019,1,$34.35
O386,u7493,B1,P31,10/6/2019,1,$19.85
O387,u16136,B1,P24,7/30/2019,3,$48.88
O388,u49944,B1,P22,7/26/2019,10,$226.37
O389,u21200,B1,P33,10/12/2019,8,$272.62
O390,u7059,B1,P13,2/13/2019,8,$423.84
O391,u39219,B1,P6,3/12/2019,13,$533.17
O392,u39809,B1,P6,6/18/2019,5,$205.06
O393,u3294,B1,P16,1/10/2019,13,$564.72
O394,u45790,B1,P28,11/17/2019,11,$331.95
O395,u20081,B1,P2,10/4/2019,2,$39.79
O396,u37898,B1,P28,1/2/2019,4,$120.71
O397,u15486,B1,P31,10/8/2019,6,$119.10
O398,u14553,B1,P36,2/4/2019,15,$421.56
O399,u32640,B1,P20,3/17/2019,15,$890.78
O400,u519,B1,P28,9/21/2019,10,$301.77
O401,u20281,B1,P5,6/22/2019,4,$125.98
O402,u10633,B1,P11,6/2/2019,6,$291.34
O403,u8517,B1,P33,2/10/2019,9,$306.70
O404,u15496,B1,P25,9/23/2019,5,$113.30
O405,u29767,B1,P36,2/23/2019,11,$309.14
O406,u28002,B1,P10,3/31/2019,5,$273.38
O407,u10996,B1,P24,12/11/2019,12,$195.50
O408,u37101,B1,P20,5/29/2019,13,$772.01
O409,u20386,B1,P6,6/15/2019,12,$492.15
O410,u1515,B1,P6,8/17/2019,4,$164.05
O411,u17050,B1,P1,11/18/2019,8,$113.56
O412,u12401,B1,P18,12/20/2019,7,$266.69
O413,u46502,B1,P35,2/2/2019,13,$316.60
O414,u2946,B1,P25,7/25/2019,10,$226.60
O415,u31095,B1,P2,7/5/2019,8,$159.17
O416,u32111,B1,P10,9/6/2019,2,$109.35
O417,u32914,B1,P30,11/14/2019,13,$246.38
O418,u13817,B1,P34,9/4/2019,15,$428.50
O419,u14364,B1,P33,5/1/2019,5,$170.39
O420,u35604,B1,P6,5/5/2019,10,$410.13
O421,u37428,B1,P32,12/16/2019,2,$48.18
O422,u28486,B1,P9,5/5/2019,5,$193.58
O423,u38028,B1,P8,9/16/2019,10,$304.33
O424,u22816,B1,P11,6/13/2019,9,$437.01
O425,u24685,B1,P34,5/1/2019,15,$428.50
O426,u21136,B1,P28,7/30/2019,14,$422.48
O427,u6554,B1,P26,9/17/2019,4,$87.22
O428,u25426,B1,P14,1/20/2019,14,$419.37
O429,u31505,B1,P9,11/12/2019,5,$193.58
O430,u41956,B1,P20,11/25/2019,9,$534.47
O431,u148,B1,P25,5/13/2019,10,$226.60
O432,u15943,B1,P28,1/11/2019,6,$181.06
O433,u32234,B1,P1,6/4/2019,4,$56.78
O434,u41089,B1,P28,4/15/2019,14,$422.48
O435,u1623,B1,P18,12/6/2019,10,$380.98
O436,u36080,B1,P8,10/18/2019,2,$60.87
O437,u29779,B1,P35,12/5/2019,7,$170.48
O438,u3717,B1,P35,4/5/2019,9,$219.18
O439,u3520,B1,P16,4/1/2019,5,$217.20
O440,u5178,B1,P4,2/18/2019,11,$202.89
O441,u4318,B1,P17,8/31/2019,8,$485.98
O442,u16032,B1,P22,10/2/2019,6,$135.82
O443,u35896,B1,P1,7/10/2019,15,$212.92
O444,u25319,B1,P1,10/27/2019,4,$56.78
O445,u47067,B1,P30,1/21/2019,12,$227.43
O446,u19793,B1,P31,1/30/2019,10,$198.51
O447,u13860,B1,P34,10/3/2019,8,$228.53
O448,u32249,B1,P15,3/28/2019,14,$771.80
O449,u40859,B1,P11,8/22/2019,4,$194.22
O450,u2654,B1,P31,11/29/2019,10,$198.51
O451,u26603,B1,P30,8/15/2019,6,$113.72
O452,u281,B1,P9,12/30/2019,9,$348.44
O453,u22823,B1,P31,5/9/2019,14,$277.91
O454,u12527,B1,P29,6/30/2019,14,$315.92
O455,u26464,B1,P21,9/15/2019,10,$625.21
O456,u44912,B1,P24,11/8/2019,3,$48.88
O457,u26964,B1,P21,12/29/2019,3,$187.56
O458,u26869,B1,P18,11/2/2019,13,$495.27
O459,u27405,B1,P36,1/2/2019,8,$224.83
O460,u29077,B1,P7,12/11/2019,5,$212.59
O461,u6086,B1,P17,6/8/2019,12,$728.97
O462,u1954,B1,P6,9/15/2019,2,$82.03
O463,u37132,B1,P17,12/7/2019,6,$364.48
O464,u17664,B1,P3,5/3/2019,5,$119.36
O465,u23145,B1,P14,3/29/2019,11,$329.51
O466,u22976,B1,P25,7/19/2019,4,$90.64
O467,u26099,B1,P32,6/15/2019,15,$361.36
O468,u40201,B1,P7,7/4/2019,1,$42.52
O469,u31883,B1,P9,4/21/2019,1,$38.72
O470,u23102,B1,P23,6/11/2019,5,$94.77
O471,u29603,B1,P3,7/19/2019,3,$71.62
O472,u13490,B1,P18,2/26/2019,9,$342.88
O473,u35375,B1,P6,8/17/2019,6,$246.08
O474,u38515,B1,P3,3/20/2019,5,$119.36
O475,u36285,B1,P35,12/14/2019,10,$243.54
O476,u44329,B1,P12,2/12/2019,5,$183.36
O477,u18977,B1,P9,7/16/2019,2,$77.43
O478,u16890,B1,P23,9/2/2019,6,$113.72
O479,u37505,B1,P6,1/6/2019,7,$287.09
O480,u27485,B1,P4,10/27/2019,12,$221.33
O481,u1119,B1,P28,6/21/2019,7,$211.24
O482,u48766,B1,P33,10/4/2019,10,$340.78
O483,u47222,B1,P2,7/3/2019,1,$19.90
O484,u25580,B1,P4,11/17/2019,11,$202.89
O485,u31331,B1,P1,12/18/2019,3,$42.58
O486,u44844,B1,P19,2/12/2019,4,$137.38
O487,u1326,B1,P13,6/20/2019,14,$741.73
O488,u15648,B1,P31,11/13/2019,12,$238.21
O489,u39966,B1,P7,9/8/2019,11,$467.69
O490,u37349,B1,P1,1/20/2019,8,$113.56
O491,u8664,B1,P2,7/30/2019,2,$39.79
O492,u11810,B1,P1,5/18/2019,4,$56.78
O493,u8190,B1,P19,1/17/2019,15,$515.18
O494,u40311,B1,P35,7/20/2019,5,$121.77
O495,u3415,B1,P21,11/7/2019,14,$875.29
O496,u24688,B1,P1,8/5/2019,12,$170.34
O497,u29987,B1,P16,6/27/2019,3,$130.32
O498,u11849,B1,P5,4/5/2019,13,$409.43
O499,u39910,B1,P29,6/10/2019,7,$157.96
O500,u46008,B1,P29,7/31/2019,15,$338.48
O501,u30139,B1,P27,8/31/2019,15,$436.52
O502,u21366,B1,P9,10/30/2019,15,$580.73
O503,u26523,B1,P32,10/31/2019,3,$72.27
O504,u1152,B1,P7,6/20/2019,13,$552.73
O505,u33480,B1,P23,6/6/2019,8,$151.63
O506,u35938,B1,P3,12/28/2019,7,$167.11
O507,u14833,B1,P29,12/8/2019,6,$135.39
O508,u43357,B1,P9,4/22/2019,7,$271.01
O509,u1046,B1,P1,1/26/2019,4,$56.78
O510,u3123,B1,P3,3/12/2019,12,$286.47
O511,u43890,B1,P31,8/12/2019,2,$39.70
O512,u20696,B1,P9,5/23/2019,7,$271.01
O513,u8198,B1,P1,4/11/2019,9,$127.75
O514,u21913,B1,P13,4/30/2019,10,$529.80
O515,u37149,B1,P15,6/7/2019,5,$275.64
